,Dog Breed
1180,yorkshire terrier
1181,zwergpinscher
1182,zwergpinscher
1183,zwergpudel
1184,zwergschnauzer
1185,zwergspitz
1186,zwergspitz
1187,österreichischer pinscher
1188,airedale-terrier
1189,alaskan malamute
1190,amerikanischer cockerspaniel
1191,amerikanischer pit-bullterrier
1192,amerikanischer pit-bullterrier
1193,amerikanischer staffordshire-terrier
1194,amerikanischer staffordshire-terrier
1195,australian shepherd dog
1196,bayerischer gebirgsschweisshund
1197,beagle
1198,beagle
1199,bearded collie
1200,belgischer schäferhund
1201,berner sennenhund
1202,berner sennenhund
1203,bichon frisé
1204,border-collie
1205,border-collie
1206,boxer
1207,bracke
1208,bullterrier
1209,cairn-terrier
1210,cavalier king charles spaniel
1211,chihuahua kurzhaariger schlag
1212,chihuahua kurzhaariger schlag
1213,chihuahua langhaariger schlag
1214,cocker spaniel
1215,collie
1216,collie
1217,dackel
1218,dackel
1219,dalmatiner
1220,deutsch kurzhaar
1221,deutsche dogge
1222,deutscher pinscher
1223,deutscher schäferhund
1224,deutscher schäferhund
1225,dobermann
1226,drahthaar-foxterrier
1227,englischer cockerspaniel
1228,entlebucher sennenhund
1229,flat coated retriever
1230,französische bulldogge
1231,golden retriever
1232,golden retriever
1233,greyhound
1234,grosser münsterländer
1235,havaneser
1236,havaneser
1237,hovawart
1238,irish setter
1239,jack-russell-terrier
1240,jack-russell-terrier
1241,kleiner münsterländer
1242,labrador retriever
1243,labrador retriever
1244,langhaardackel
1245,magyar vizsla
1246,malinois
1247,malteser
1248,malteser
1249,mops
1250,papillon
1251,parson-russell-terrier
1252,pekinese
1253,pekinese
1254,pudel
1255,pudel
1256,puli
1257,rauhhaardackel (zwergdackel)
1258,rhodesian ridgeback
1259,rottweiler
1260,schapendoes
1261,schnauzer
1262,schnauzer
1263,sheltie
1264,shiba inu
1265,shih tzu
1266,shih tzu
1267,siberian husky
1268,siberian husky
1269,spitz
1270,staffordshire-bullterrier
1271,tibet-terrier
1272,west highland white terrier
1273,whippet
1274,yorkshire terrier
1275,yorkshire terrier
1276,zwergpinscher
1277,zwergpinscher
1278,zwergpudel
1279,zwergschnauzer
1280,zwergspitz
1281,zwergspitz
1282,beagle
1283,chihuahua kurzhaariger schlag
1284,dackel
1285,deutscher schäferhund
1286,englischer cockerspaniel
1287,französische bulldogge
1288,golden retriever
1289,havaneser
1290,jack-russell-terrier
1291,labrador retriever
1292,labrador retriever
1293,malteser
1294,parson-russell-terrier
1295,pudel
1296,shih tzu
1297,toy-pudel
1298,west highland white terrier
1299,yorkshire terrier
1300,amerikanischer cockerspaniel
1301,amerikanischer pit-bullterrier
1302,amerikanischer pit-bullterrier
1303,amerikanischer staffordshire-terrier
1304,amerikanischer staffordshire-terrier
1305,australian shepherd dog
1306,beagle
1307,beagle
1308,berner sennenhund
1309,border-collie
1310,border-collie
1311,boxer
1312,bullterrier
1313,cavalier king charles spaniel
1314,chihuahua kurzhaariger schlag
1315,chihuahua kurzhaariger schlag
1316,chihuahua langhaariger schlag
1317,collie
1318,dackel
1319,dackel
1320,deutsche dogge
1321,deutscher schäferhund
1322,deutscher schäferhund
1323,dogo argentino
1324,englischer cockerspaniel
1325,englischer cockerspaniel
1326,französische bulldogge
1327,golden retriever
1328,golden retriever
1329,havaneser
1330,havaneser
1331,jack-russell-terrier
1332,jack-russell-terrier
1333,labrador retriever
1334,labrador retriever
1335,magyar vizsla
1336,malteser
1337,malteser
1338,mops
1339,parson-russell-terrier
1340,pekinese
1341,pekinese
1342,pudel
1343,rauhhaardackel (zwergdackel)
1344,rhodesian ridgeback
1345,rottweiler
1346,schnauzer
1347,shih tzu
1348,siberian husky
1349,siberian husky
1350,spanischer windhund
1351,spitz
1352,staffordshire-bullterrier
1353,west highland white terrier
1354,yorkshire terrier
1355,yorkshire terrier
1356,zwergpinscher
1357,zwergpinscher
1358,zwergspitz
1359,zwergspitz
1360,amerikanischer pit-bullterrier
1361,amerikanischer staffordshire-terrier
1362,amerikanischer staffordshire-terrier
1363,australian shepherd dog
